vious,Data-Ora,Temp
2414,1/1/2019 0:00,8.4
2414,1/1/2019 0:10,8.8
2414,1/1/2019 0:20,9.2
2414,1/1/2019 0:30,9.3
2414,1/1/2019 0:40,9.4
2414,1/1/2019 0:50,9.5
2414,1/1/2019 1:00,9.5
2414,1/1/2019 1:10,9.4
2414,1/1/2019 1:20,9.2
2414,1/1/2019 1:30,9.1
2414,1/1/2019 1:40,9
2414,1/1/2019 1:50,9
2414,1/1/2019 2:00,9.1
2414,1/1/2019 2:10,9.2
2414,1/1/2019 2:20,9.1
2414,1/1/2019 2:30,9.2
2414,1/1/2019 2:40,9.2
2414,1/1/2019 2:50,9.2
2414,1/1/2019 3:00,9.2
2414,1/1/2019 3:10,9.1
2414,1/1/2019 3:20,9.2
2414,1/1/2019 3:30,9.2
2414,1/1/2019 3:40,9.2
2414,1/1/2019 3:50,9.2
2414,1/1/2019 4:00,9.2
2414,1/1/2019 4:10,9.1
2414,1/1/2019 4:20,9
2414,1/1/2019 4:30,9
2414,1/1/2019 4:40,8.8
2414,1/1/2019 4:50,8.4
2414,1/1/2019 5:00,8.2
2414,1/1/2019 5:10,8.1
2414,1/1/2019 5:20,8.4
2414,1/1/2019 5:30,8
2414,1/1/2019 5:40,7.9
2414,1/1/2019 5:50,7.9
2414,1/1/2019 6:00,8
2414,1/1/2019 6:10,7.8
2414,1/1/2019 6:20,7.8
2414,1/1/2019 6:30,7.8
2414,1/1/2019 6:40,7.6
2414,1/1/2019 6:50,7.6
2414,1/1/2019 7:00,7.3
2414,1/1/2019 7:10,7.1
2414,1/1/2019 7:20,7.1
2414,1/1/2019 7:30,7
2414,1/1/2019 7:40,6.9
2414,1/1/2019 7:50,6.8
2414,1/1/2019 8:00,6.7
2414,1/1/2019 8:10,6.5
2414,1/1/2019 8:20,6.3
2414,1/1/2019 8:30,6.1
2414,1/1/2019 8:40,6.1
2414,1/1/2019 8:50,6.2
2414,1/1/2019 9:00,6.2
2414,1/1/2019 9:10,6.2
2414,1/1/2019 9:20,6.1
2414,1/1/2019 9:30,6.2
2414,1/1/2019 9:40,6.2
2414,1/1/2019 9:50,6.4
2414,1/1/2019 10:00,6.4
2414,1/1/2019 10:10,6.5
2414,1/1/2019 10:20,6.7
2414,1/1/2019 10:30,6.8
2414,1/1/2019 10:40,6.9
2414,1/1/2019 10:50,6.9
2414,1/1/2019 11:00,6.8
2414,1/1/2019 11:10,7.2
2414,1/1/2019 11:20,7.8
